,uID,Verb,Embedding,Context,Target,Prompt,ModalType,MatTense,MatSubjLemma,MatSubjPer,MatSubjNum,Embedding,genre,factive,mean.noTarget,sd.noTarget,Mean,SD,Reponses
11,BNC-1019,say,modal,"Hardly, thought Jaq. Nor could Obispal exactly be viewed as incompetent, despite his last-moment slackening of judgement when he charged into that trap in the arcade.",A cynic might say that Obispal's activities were directly responsible for triggering the rebellion and thus for all the deaths including those of millions of bystanders.,Obispal's activities were directly responsible for triggering the rebellion,EP,future,a cynic,third,singular,modal,BNC,no,-0.222222222,1.56347192,1,1.414213562,"3, 3, 1, 0, -1, 0, 1, 1"
12,BNC-1020,say,modal,"Perhaps I should apologize for my tears. As a rationalist, I had but to snap my rational fingers, it might be argued, and the devil would fade away in a puff of smoke.",To which I might say that rationalist or not I had spent too many years in my capacity as church architect investigating the fossils of a dead faith not to have imbibed something of the old superstitions.,he had spent too many years in his capacity as church architect investigating the fossils of a dead faith not to have imbibed something of the old superstitions,CI,present,I,first,singular,modal,BNC,no,0.25,1.164964745,2.25,1.38873015,"3, 2, 2, 3, 3, -1, 3, 3"
13,BNC-1024,say,modal,"It is part of their religion, a religion I do not scoff at as it holds many elements which match our own even though it lacks the truth of ours. At one of their great festivals they have the ritual of driving out the devils from their bodies.",First the drummers come on - I may say that no women are allowed to take part in this ritual and the ladies here will perhaps agree with me that they are fortunate in that omission.,no women are allowed to take part in this ritual,CI,present,I,first,singular,modal,BNC,no,-0.25,0.707106781,2.666666667,0.707106781,"2, 3, 3, 3, 3, 3, 3, 1, 3"
14,BNC-1031,say,modal,He looked at me questioningly.,I wished I could say yes I minded like hell it wouldn't cost me much in the circumstances.,she minded like hell,AB,present,I,first,singular,modal,BNC,no,0,0.866025404,1.777777778,1.922093766,"2, 2, 3, 3, -1, 3, 3, 3, -2"
15,BNC-1032,say,modal,"The kitchen radiator doesn't work and the Calorgas fire hadn't warmed the place up yet. I began to wonder about how long hypothermia takes to kill someone, I mean what if I left Mum there overnight - would that be long enough?",I could say that she must have gone wandering.,Mum must have gone wandering,AB,future,I,first,singular,modal,BNC,no,-0.333333333,1.435481125,-2,1.322875656,"-3, -3, 0, -2, -3, -3, -3, -1, 0"
16,BNC-1035,say,modal,At this rate I 'll be a Homelessness Statistic. A student!,I could say I'm a student.,she is a student,AB,future,I,first,singular,modal,BNC,no,2,2,1.375,1.922609833,"2, 3, 3, 1, 3, 2, -2, -1"
17,BNC-1046,say,modal,"The Paris to Rouen railway was being extended to Le Havre, and the line cut straight through Dr Flaubert's land. Part of it was to be compulsorily purchased.",You could say that Gustave was shepherded into creative retreat at Croisset by epilepsy.,Gustave was shepherded into creative retreat at Croisset by epilepsy,CI,present,you,second,unknown,modal,BNC,no,-0.75,1.38873015,1.375,1.187734939,"2, 1, -1, 3, 1, 2, 1, 2"
18,BNC-1047,say,modal,Part of it was to be compulsorily purchased. You could say that Gustave was shepherded into creative retreat at Croisset by epilepsy.,You could also say he was driven there by the railway.,Gustave was driven to creative retreat in Croisset by the railway,CI,present,you,second,unknown,modal,BNC,no,1.5,2,1.875,0.83452296,"1, 2, 1, 3, 2, 2, 3, 1"
19,BNC-1048,say,modal,"That day it all came out. Constanza tried to follow her out of the hotel-as she was very very upset, my grandmother-but Constanza was too late.",You could say that she died of... moral shock.,the grandmother died of moral shock,CI,present,you,second,unknown,modal,BNC,no,-0.454545455,1.634847783,0.875,1.959409532,"3, 2, 1, 1, -2, 1, -2, 3"
20,BNC-1049,say,modal,"Some of them, like for instance the farm in Connecticut, are quite small. If I like a place I buy it.",I guess you could say it's a hobby.,buying places is a hobby,CI,present,you,second,unknown,modal,BNC,no,1.363636364,0.809039835,2,0.755928946,"2, 2, 2, 2, 1, 3, 1, 3"
21,BNC-1055,say,modal,When Matt married Inez I was left high and dry. A year later I met a sales rep for an agricultural firm and married him.,You could say it was on the rebound but I had no reason to regret it.,the marriage was on the rebound,CI,present,you,second,unknown,modal,BNC,no,1.181818182,1.778661397,2.555555556,0.527046277,"2, 3, 2, 2, 3, 3, 3, 2, 3"
22,BNC-106,hear,conditional,She spoke - more slowly than she had spoken before - and Fatima listened with a concentrated intensity that she never lent to Marie Claire's requests and detailed instructions. It was evident in all their dealings that no matter how Marie Claire bestirred herself the maids would do things as they had always done them.,Now watching her I thought that Fatima might at this girl's behest change her life her ways and I wondered what she would do if she was hearing that she would find no husband have no children lose her life to Leviathan.,Fatima would find no husband have no children and lose her life to Leviathan,EP,present,she,third,singular,conditional,BNC,no,-0.3,0.948683298,0.777777778,1.481365736,"2, 0, 1, 0, 0, 1, 2, -2, 3"
23,BNC-1063,say,modal,"Look, my dear, I'm not in my dotage yet, and I know I'm a grumbler and a complainer.",You could say the only form of comfort I 've got are my complaints.,the only form of comfort he has are his complaints,CI,present,you,second,unknown,modal,BNC,no,1.181818182,1.167748416,2.625,0.51754917,"3, 3, 3, 2, 2, 3, 2, 3"
24,BNC-1066,say,modal,I should think that just about everyone was having a go at everyone else by the time it ended.,But I suppose you could say that it was a war that needed fighting.,it was a war that needed fighting,CI,present,you,second,unknown,modal,BNC,no,0.545454545,0.820199532,2.333333333,0.866025404,"3, 3, 1, 3, 3, 2, 2, 3, 1"
25,BNC-1068,see,modal,"Then the silence in the Zoo became complete. Woil stared around him and then suddenly with a push of his wings raised himself into the air, turned, and landed ten feet away on the back of a green bench.",Creggan could see that he was afraid and that his fear was making him terribly uncertain.,Woil was afraid,AB,present,Creggan,third,singular,modal,BNC,yes,0.545454545,1.694912173,1.875,1.642080562,"2, 2, 3, 3, 3, -2, 2, 2"
26,BNC-1069,see,modal,The car engine roared again and the red car moved off but it didn't go far. Stuart's Mum was reversing out of her space and her car was blocking the way.,Stuart could see that the red car was going to turn back.,the red car was going to turn back,AB,present,Stuart,third,singular,modal,BNC,yes,0.2,1.398411798,2.5,0.755928946,"3, 3, 1, 3, 3, 2, 2, 3"
27,BNC-107,hear,conditional,Harvey thinks very highly of you and you 'll be a great comfort to him. Terrible way for young Judd to die.,It 'll help Harvey if he hears his son didn't suffer none.,Harvey's son didn't suffer at all,,future,he,third,singular,conditional,BNC,no,-2.083333333,0.900336637,1.5,1.414213562,"2, 1, 2, -1, 0, 3, 3, 2"
28,BNC-1070,see,modal,"He opened the door and smiled because a good-looking woman was arriving to keep a date. Sophie sat down at Pascoe's table and said, ``I thought I 'd find you here.''",He could see that something had happened.,something had happened,AB,present,he,third,singular,modal,BNC,yes,1.777777778,1.394433378,2.5,0.755928946,"3, 1, 3, 2, 3, 3, 2, 3"
29,BNC-1071,see,modal,"But, of course, that just wasn't possible. Her disappointment over Jonathan, which had driven her to France in the first place, had been relegated somewhere to the back of her mind.",Now in retrospect she could see that marriage to him would have been a ghastly mistake and that her reaction to discovering that he had been seeing other women while he had been engaged to her had had far more to do with wounded pride than with a wounded heart.,marriage to Jonathan would have been a ghastly mistake,AB,present,she,third,singular,modal,BNC,yes,0.909090909,1.300349603,2.875,0.353553391,"3, 2, 3, 3, 3, 3, 3, 3"
30,BNC-1074,see,modal,Like now. The Community in Knockglen would defend Eve vociferously.,Even some of the Sisters here in Dublin might see that the girl had a point.,the girl had a point,EP,future,some of the sisters,third,plural,modal,BNC,yes,1.4,1.349897115,2,1.118033989,"3, 3, 3, 2, 1, 0, 1, 3, 2"
31,BNC-1075,see,modal,"They were all the same, all noise and sparrow shit, and if the man only knew the idiot scene he cut... ``My fire exploded.'' The fight had fled the Major.",His hands hung simply by his trouser pockets ungloved and Rudakov could see that they trembled.,the Major's hands trembled,AB,present,Rudakov,third,singular,modal,BNC,yes,0.916666667,1.311372171,2.75,0.46291005,"3, 3, 3, 2, 3, 3, 2, 3"
32,BNC-1077,see,modal,"Roman settled them at one of the small tables in a garden at the side of the yard at the Crowned Head. He summoned a girl, who seemed mesmerised by his virile look, and ordered lager for them both.",``I need something stronger than coffee '' he said and Claudia could see that he was under considerable strain.,Roman was under considerable strain,AB,present,Claudia,third,singular,modal,BNC,yes,-0.909090909,1.221027883,2.555555556,0.726483157,"3, 3, 3, 2, 2, 1, 3, 3, 3"
33,BNC-1080,see,modal,"``They have to be crushed, Bobkins!'' So saying, she marched off down the gravel path, making the kind of crunching noise Robert had thought could only be produced by the BBC sound-effects department.",As they rounded the edge of the building he could see that behind the house was a vast garden.,behind the house was a vast garden,AB,present,he,third,singular,modal,BNC,yes,-0.181818182,1.470930441,2.875,0.353553391,"2, 3, 3, 3, 3, 3, 3, 3"
34,BNC-1082,see,modal,Or Alexandra? He rather thought not.,It was not something he had considered much before now but he could see that outstanding looks could be more of a curse than a blessing.,outstanding looks could be more of a curse than a blessing,AB,present,he,third,singular,modal,BNC,yes,-0.7,1.82878223,1.625,1.505940617,"3, 0, 2, 3, 2, -1, 3, 1"
35,BNC-1083,see,modal,The women were much easier to supervise and hold. So he refused to accept Dule in exchange.,Kit ordered Ariel brought so that the islanders could see she was as well as could be expected and recovering from the wound to her thigh.,Ariel was as well as could be expected,AB,present,islander,third,plural,modal,BNC,yes,0,1.5,2.125,1.246423455,"0, 1, 3, 3, 3, 1, 3, 3"
36,BNC-1086,see,modal,``Do you mind if I use your phone?'',Ronni could see that Guido's brain was whirring.,Guido's brain was whirring,AB,present,Ronni,third,singular,modal,BNC,yes,-0.2,1.032795559,2.222222222,1.092906421,"3, 3, 1, 3, 0, 2, 3, 2, 3"
37,BNC-1087,see,modal,"It grew bigger with incredible speed, she was whizzing towards it. She must slow down or she 'd miss it.",She took her foot off the accelerator and put it on the brake and as the car slowed she could see now that it was a child a toddler with a red woolly hat on.,it was a child,AB,present,she,third,singular,modal,BNC,yes,-0.818181818,1.167748416,2.875,0.353553391,"3, 3, 3, 3, 3, 3, 2, 3"
38,BNC-1089,see,modal,"``Look, lady, give me a break. I just deliver the stuff, I don't interview it for the Sunday papers.''",He waved the paper at her and even at a distance she could see that it said very little.,the paper said very little,AB,present,she,third,singular,modal,BNC,yes,-0.272727273,1.489356176,2.375,1.060660172,"3, 0, 3, 3, 3, 2, 2, 3"
39,BNC-1091,see,modal,"Alone in the big drawing-room where Annette's choice of bright fabrics had fought hardest, albeit still without winning against her dead in-laws ' passion for darkpanelled gloom Maxim went straight to the telephone. It was the same old-fashioned type as Miss Tuckey's and he unscrewed the mouthpiece carefully but found nothing extra inside.",Looking around he remembered it was difficult to plant bugs actually inside panelling but even his half-trained eye could see that the elaborate cornices and mouldings gave a myriad opportunities to a good wire man.,the elaborate cornices and mouldings gave a myriad opportunities to a good wire man,AB,present,eye,third,singular,modal,BNC,yes,0.3,0.483045892,2.25,0.707106781,"3, 2, 2, 2, 3, 3, 2, 1"
40,BNC-1092,see,modal,"``You 've heard something like that before. Haven't you, Jimmy?''",Jimmy had been shaken by those sounds more shaken than the others for good reason but Cardiff could see that he was unprepared to show it as he pushed himself away from the reception counter.,Jimmy was unprepared to show he had been shaken,AB,present,Cardiff,third,singular,modal,BNC,yes,0.666666667,1.414213562,1.777777778,0.971825316,"3, 2, 2, 2, 1, 3, 0, 2, 1"
41,BNC-1093,see,modal,The other set being in the pocket of Giovanna's overall from which she now drew them and held them up making it clear that they would be relinquished only upon her death and then only into the hands of Signor Kettering. What had occurred was quite contrary to the wishes of the padrone who would be outraged if he ever got to hear of it.,Despite this disastrous beginning however Giovanna would be there in the morning her own family circumstances permitting and she would be much obliged if the Signora would make sure that her children were up and dressed and the breakfast eaten so that she could see that the house was returned to something like the order which Signor Kettering expected of it.,the house was returned to something like the order which Signor Kettering expected of it,AB,future,she,third,singular,modal,BNC,yes,-0.4,1.173787791,2.125,0.991031209,"3, 0, 3, 2, 2, 3, 2, 2"
42,BNC-1094,see,modal,"He spoke Maa fluently and he had unrivalled connections. As women do, she probably knew that she had made an impression on him on the two or three occasions they had met at Muthaiga.",Claudia could see that locking up a Masai for a crime he did not understand was cruel and inhuman.,locking up a Masai for a crime he did not understand was cruel and inhuman,AB,present,Claudia,third,singular,modal,BNC,yes,-0.272727273,1.420627262,3,0,"3, 3, 3, 3, 3, 3, 3, 3"
43,BNC-1095,see,modal,"It was Alan's idea. He made a sour kind of joke out of it, that they must wait until their wedding night.",Carolyn agreed because she could see he meant it although she didn't understand why.,Alan meant it,AB,present,she,third,singular,modal,BNC,yes,0.090909091,1.814086296,2.125,1.726888201,"3, 2, 3, 3, 2, 3, -2, 3"
44,BNC-1099,see,modal,"Biddy was right. In London, I did some serious thinking.",I could see that my character had not improved since I had heard about my expectations.,his character had not improved since he had heard about his expectations,AB,present,I,first,singular,modal,BNC,yes,-0.05,1.394538218,3,0,"3, 3, 3, 3, 3, 3, 3, 3"
45,BNC-1100,see,modal,It was dark and well stormy by the time I got to the Aurora Corona Rest Home and the residents were probably battened down for the night. I parked Armstrong on the road and walked down the short drive to the impressive Gothic porch around the front door.,That at least had a light showing and at first I thought the rest of the building was in total darkness but as I crunched gravel and got closer I could see they used extra thick curtains maybe left-overs from the Blackout.,the residents used extra thick curtains,AB,present,I,first,singular,modal,BNC,yes,-0.272727273,1.420627262,2.777777778,0.666666667,"3, 1, 3, 3, 3, 3, 3, 3, 3"
46,BNC-1101,see,modal,"And if anyone had noticed, maybe I could have just tossed the whole matter off in a casual way. ``Oh, that... it's nothing much...'' No, it's too easy to forget that something which I hardly ever think about now was then a very great concern.",I was aware what could happen I could see that any weakness was pounced upon by the other boys and I knew that I wasn't big enough or belligerent enough to bully my way out of it.,any weakness was pounced upon by the other boys,AB,past,I,first,singular,modal,BNC,yes,0.3,1.33749351,2.333333333,1.658312395,"3, 2, 3, 3, 3, 3, 3, 3, -2"
47,BNC-1102,see,modal,"During that pause I realized that Mala had not been offered a seat, nor any food or drink. The Emissary and his people were behaving as if she simply wasn't there.",I could see that she was scowling and stiffening into a Mark 2 temper so I gave her an encouraging smile - which raised her as I expected to a Mark 3.,Mala was scowling and stiffening into a Mark 2 temper,AB,present,I,first,singular,modal,BNC,yes,0.777777778,0.833333333,2.625,0.744023809,"3, 2, 3, 3, 1, 3, 3, 3"
48,BNC-1106,see,modal,``I think he ought to know about this.'' The ex-soldier said and started to rise.,Braden stepped in closer and the ex-soldier looked up almost straight up and you could see then that he was afraid but trying hard not to show it.,the ex-soldier was afraid but trying hard not to show it,AB,present,you,second,unknown,modal,BNC,yes,-0.6,1.0749677,2.75,0.46291005,"3, 3, 2, 2, 3, 3, 3, 3"
49,BNC-1111,suggest,modal,"She was pouring a cup of tea when the solution came to her. As a member of the editorial collective of Fem Sap, it was part of her job to commission occasional articles.",She could ring Jamie and suggest that he write something for it.,Jamie should write something for Fem Sap,AB,future,she,third,singular,modal,BNC,no,2.5,0.9258201,1.444444444,1.130388331,"0, 1, 2, 0, 3, 2, 3, 1, 1"
50,BNC-1114,suggest,modal,"We saw him at the Test matches, congratulating Gooch. But we never really believed that John Major was a sports fan until we saw him on that bleak Sunday afternoon at Stamford Bridge.",True it was a televised match and some might suggest that his media advisers were earning their keep but a prime minister who endures 90 minutes of Chelsea has surely earned the benefit of the doubt.,John Major's media advisers were earning their keep,EP,present,some,third,plural,modal,BNC,no,0.272727273,1.190874392,1,1.069044968,"0, 1, 1, 3, 0, 2, 0, 1"
51,BNC-1116,suggest,modal,"Emily - she seemed to be her own mistress, despite the grand connections - would surely not refuse an honest offer. Yet he was not, at present, in a position to make one.",Perhaps when she had recovered from this encounter he could suggest that they become engaged albeit in an unacknowledged fashion as he could not afford a ring worthy of her.,they should become engaged,AB,future,he,third,singular,modal,BNC,no,-1,1.309307341,0.888888889,0.927960727,"2, 1, 1, 2, 0, 2, 0, 0, 0"
52,BNC-1121,suppose,modal,"He came up with them to Four on the first floor, Tom's room. This irritated Alice.",Peter might have supposed that they were lovers from Tom's ardour and her acquiescence might have thought it not just tactful but a requirement to leave them alone together.,Tom and Alice were lovers,AB,present,Peter,third,singular,modal,BNC,no,0.454545455,1.572490786,0.75,0.88640526,"0, 1, 1, 0, 0, 2, 2, 0"
53,BNC-1122,suppose,modal,"She had had very little to do with Bunny, but on their occasional meetings the girl had grown more civil of late.",Sara could only suppose that her initial suspicion had been stilled and that she accepted her Sara as part of the permanent scenery around the place.,Bunny's initial suspicion had been stilled,AB,present,Sara,third,singular,modal,BNC,no,1,0.9258201,0.625,1.187734939,"1, 0, 0, 0, 1, -1, 1, 3"
54,BNC-1123,suppose,modal,It seems the fellow carried out his task well enough - there are two corpses in the burial chest this morning. But who could say for certain?,Will Slaughter has gone and one might suppose another has gone with him.,another has gone with Will Slaughter,CI,present,one,third,singular,modal,BNC,no,0,0.447213595,0.5,0.755928946,"0, 1, 0, 0, 2, 0, 1, 0"
55,BNC-1124,suspect,modal,"Manville had pruned Hayman's original shortlist of five to just two names, and added a third of his own choosing from the original dossier.",The name meant virtually nothing to him and a casual observer might easily have suspected that Manville had picked it out completely at random.,Manville had picked the name out completely at random,EP,past,observer,third,singular,modal,BNC,no,-1.7,1.636391694,0.222222222,2.279132389,"2, -1, 3, -3, -2, 1, 3, -2, 1"
56,BNC-1127,suspect,modal,"He would come when he would come, and the Tabula Rasa would have to bide its time, though the longer he was away the more the likelihood grew of one of their number voicing the suspicion some of them surely nurtured. That Godolphin's dealings in talismans and wantons were only the tip of the iceberg.",Perhaps they even suspected he took trips.,Godolphin took trips,EP,present,they,third,plural,modal,BNC,no,1.444444444,1.589898669,0.625,1.302470181,"3, 0, 1, 0, 2, -1, 0, 0"
57,BNC-1129,suspect,modal,And why bother to write anyway? What was there to say?,Mary had some vague idea that Adam's parents might suspect he was down here and come to see him.,Adam was down here,EP,present,parent,third,plural,modal,BNC,no,0,0,2.111111111,1.364225462,"2, 3, 3, 3, 1, 2, 3, 3, -1"
58,BNC-1130,suspect,modal,"He was engaging in a war of nerves with her, Isabel realised at last, but he didn't remember. She stared back at him, unable to speak, terrified of betraying the slightest clue that might jolt his memory, but conscious of a heartfelt sense of gratitude for the fever that had kept her so busy during the morning hours.",FitzAlan might suspect that something had happened between them but he didn't know for sure.,something had happened between them,EP,present,FitzAlan,third,singular,modal,BNC,no,2.545454545,0.687551651,0.75,0.88640526,"2, 1, 1, 2, 0, 0, 0, 0"
59,BNC-1131,suspect,modal,"She was not constructed to be attractive. Roland half wished that she was, that a merchant banker would take her out to dinner, or a shady solicitor to the Playboy Club.",He hated himself for these demeaning fantasies and was reasonably afraid that she might suspect he nourished them.,Roland nourished these demeaning fantasies,EP,present,she,third,singular,modal,BNC,no,0.6,1.0749677,0.888888889,1.763834207,"-2, 1, 2, 2, 1, 2, 3, -2, 1"
60,BNC-1132,suspect,modal,Ginny could only suppose that Ralph thought he was protecting her from a possible nuisance. Perhaps he thought British Council employees who received personal calls at work were instantly dismissed.,Perhaps he suspected that Peter Redburn intended to whisper obscenities in her ear.,Peter Redburn intended to whisper obscenities in Ginny's ear,EP,present,he,third,singular,modal,BNC,no,-0.666666667,1.118033989,0.375,1.187734939,"0, 1, 0, 0, 0, -1, 3, 0"
61,BNC-1133,suspect,modal,Still missing. Found dead.,Charlotte could almost suspect the headline had already been selected the outcome already determined.,the headline had already been selected,CI,present,Charlotte,third,singular,modal,BNC,no,0.5,2.321398046,1.25,1.035098339,"3, 1, 1, 0, 2, 0, 1, 2"
62,BNC-1134,suspect,modal,"Trazior did overlook such a desert, as southerly sentinel of the Palatine cluster. However, Trazior also formed part of a mega-complex of hives densely crowding a poisoned terrain, interlinked by transport tubes supported on pylons or suspended from cables.",Whoever looked out northward from the massive protective shell of Trazior might suspect that some giant world-spider nourished on venom had swung from hive to hive spinning ropes and depositing multi-millions of hatchlings in each domain.,some giant world-spider had swung from hive to hive spinning ropes,EP,present,whoever,third,singular,modal,BNC,no,-0.363636364,1.501514387,-0.5,2.507132682,"-3, -3, 1, 1, -3, -2, 2, 3"
63,BNC-1135,suspect,modal,"``One of the old school,'' Ramsbum kept intoning. ``God knows what'll happen to us now.''",If Ramsbum had been a human being Amiss might have suspected that he was seriously feeling grief.,Ramsburn was seriously feeling grief,CI,present,Amiss,third,singular,modal,BNC,no,1,1.322875656,0.333333333,2.34520788,"3, -2, 0, 3, 3, -2, 1, -3, 0"
64,BNC-1136,suspect,modal,"``If I tread too presumptuously into sacred places, reprove me,'' entreated the earl, with the submissive sweetness of a brand-new novice. Precious little chance of that happening, thought Hugh, listening and observing with a pleasure that recalled to mind some of his earliest and most tentative exchanges with Brother Cadfael, dealing trick for trick and dart for dart, and feeling their way over small battlefields to a lasting friendship.",The prior might possibly suspect that he was being teased for he was no fool but he would certainly not challenge or provoke a magnate of Robert Beaumont's stature.,the prior was being teased,EP,present,prior,third,singular,modal,BNC,no,0.454545455,1.752919642,1,1.309307341,"3, 0, 1, 0, 3, 0, 1, 0"
65,BNC-1137,suspect,modal,"It sounded plausible, but the words were a little too pat for Lorton's liking. The solution was so convenient - and for someone in Tolby's position so tactful too.",Tolby might suspect that Lorton had a hand in Newley's disappearance despite the fact that he had unwittingly provided Lorton with a partial alibi for that Sunday.,Lorton had a hand in Newley's disappearance,EP,future,Tolby,third,singular,modal,BNC,no,-0.125,1.552647509,0.555555556,1.013793755,"0, 1, 0, 1, 0, -1, 0, 2, 2"
66,BNC-1141,tell,modal,"``Otherwise I shall faint.'' Though the window on the stairwell was left on the latch there was always a peculiar smell in the room, a mixture of coke fumes from the hot-water pipes, peppermints and that pervasive mist of eau de Cologne sprayed so recklessly by Dawn Allenby.",Stella was afraid Babs might tell Dotty that she didn't wear a slip and that Dotty would rush out and buy her one just as she had bought her a brassiere after catching her in the wardrobe with her arms above her head about to be fitted for her Ptolemy costume.,Stella didn't wear a slip,EP,future,Babs,third,singular,modal,BNC,no,-0.125,0.353553391,1.888888889,1.96497102,"-1, 3, 3, 2, 3, 3, 3, 3, -2"
67,BNC-1142,tell,modal,"``And you're not having this dress,'' Nora said, bending down to look at the price tag. ``It's two and a half guineas!''",she hissed at Louise who could tell that she was genuinely appalled.,Nora was genuinely appalled,AB,present,Louise,third,singular,modal,BNC,no,1.636363636,1.361816968,3,0,"3, 3, 3, 3, 3, 3, 3, 3, 3"
68,BNC-1144,tell,modal,"``That's no problem,'' he grinned, unabashed. ``We have a perfectly efficient paging system, isn't that right, Niall?''",Lindsey saw the dark brow come down and from his thunderous expression could tell Niall was furious.,Niall was furious,AB,present,Lindsey,third,singular,modal,BNC,no,-0.5,1.314257481,2.75,0.46291005,"2, 3, 3, 2, 3, 3, 3, 3"
69,BNC-1145,tell,modal,She said good morning to Alice and Alice said hallo. She was thin and rather tall with a very lined gentle face and hair that was white but which Alice could see had once been blonde.,She could also have told this was Tina's mother before Mrs Darne went off down the passage that led to the Headmaster's Flat.,this was Tina's mother,AB,past,she,third,singular,modal,BNC,no,0.125,0.353553391,2.375,0.744023809,"3, 2, 3, 2, 1, 3, 2, 3"
70,BNC-1146,tell,modal,"David had obviously always known and Julia had learned that, whatever feelings were churning around inside his mother's mind, it was vital for her that they remained private. David was holding the strings in a pattern Julia had never seen before.",His face seemed to show nothing except benevolent interest but Julia could tell from the way that he was carrying his head and a certain tension in his body that they were approaching a crisis point.,David and his mother were approaching a crisis point,AB,present,Julia,third,singular,modal,BNC,no,1,1.61245155,1.875,1.356202682,"-1, 2, 2, 3, 2, 1, 3, 3"
